# 化学式/元素 自定义词库(由 chemical(7) 微软全拼 v7 转换, 格式: 词	q'y	权重)
# 用法: 打术语全拼出化学式(如 an'gen->NH₄⁺); 打元素符号或拼音出元素名(ac/锕->锕)
镭	ra	100
铷	rb	100
381	rbbr	100
Rb—Br	rbbr	100
428	rbcl	100
Rb—Cl	rbcl	100
494	rbf	100
Rb—F	rbf	100
319	rbi	100
Rb—I	rbi	100
铼	re	100
铑	rh	100
氡	rn	100
5s¹	ru	100
Rb	ru	100
钌	ru	100
铷	ru	100
CH₃CH(OH)COOH	ru'suan	100
C₃H₆O₃	ru'suan	100
C₁₂H₂₂O₁₁	ru'tang	100
硫	s	100
≡	san'jian	100
CHCl₃	san'lv'jia'wan	100
C₇H₇NO₂	san'xiao'ji'jia'ben	100
C₆H₃Br₃O	san'xiu'ben'fen	100
Cr₂O₃	san'yang'hua'er'ge	100
Fe₂O₃	san'yang'hua'er'tie	100
SO₃	san'yang'hua'liu	100
WO₃	san'yang'hua'wu	100
锑	sb	100
钪	sc	100
6s¹	se	100
Cs	se	100
硒	se	100
铯	se	100
Se—Se	se'se	100
314	seh	100
Se—H	seh	100
339	sh	100
S—H	sh	100
4f⁶6s²	shan	100
Sm	shan	100
钐	shan	100
NaCN	shan'ai	100
NaCN	shan'nai	100
NaOH	shao'jian	100
℃	she'shi'du	100
4s²4p³	shen	100
As	shen	100
砷	shen	100
→	sheng'cheng	100
═══	sheng'cheng	100
HgCl₂	sheng'gong	100
L/mol	sheng'mei'mo'er	100
4f¹5d¹6s²	shi	100
Ce	shi	100
铈	shi	100
CaSO₄·2H₂O	shi'gao	100
C₆H₅OH	shi'tan'suan	100
C₆H₆O	shi'tan'suan	100
SiO₂	shi'ying	100
—Bu—t	shu'ding'ji	100
—C(CH₃)₃	shu'ding'ji	100
—COOC(CH₃)₃	shu'ding'yang'tang'ji	100
Ca(OH)₂	shu'shi'hui	100
CH	shu'tan	100
=	shuang'jian	100
H₂O₂	shuang'yang'shui	100
H₂O	shui	100
Na₂SiO₃	shui'bo'li	100
5s²	si	100
Sr	si	100
硅	si	100
锶	si	100
[Cu(NH₃)₄]²⁺	si'an'he'tong'li'zi	100
CF₂=CF₂	si'fu'yi'xi	100
TiCl₄	si'lv'hua'tai	100
CCl₄	si'lv'hua'tan	100
CCl₄	si'lv'jia'wan	100
460	si'o	100
Si—O	si'o	100
[Al(OH)₄]⁻	si'qiang'ji'he'lv'suan'gen	100
[B(OH)₄]⁻	si'qiang'ji'he'peng'suan'gen	100
176	si'si	100
Si—Si	si'si	100
N₂O₄	si'yang'hua'er'dan	100
Fe₃O₄	si'yang'hua'san'tie	100
552	sif	100
Si—F	sif	100
377	sih	100
Si—H	sih	100
²	sj	100
³	sj	100
¹	sj	100
⁰	sj	100
⁴	sj	100
⁵	sj	100
⁶	sj	100
⁷	sj	100
⁸	sj	100
⁹	sj	100
⁻	sjf	100
ⁿ	sjn	100
⁺	sjz	100
钐	sm	100
364	so	100
S—O	so	100
S═O	so	100
3s²3p⁶	sp	100
锶	sr	100
268	ss	100
S—S	ss	100
S═S	ss	100
Na₂CO₃	su'da	100
—COOH	suo'ji	100
CₙH₂ₙ₊₁COOH	suo'suan	100
6s²6p¹	ta	100
Tl	ta	100
钽	ta	100
铊	ta	100
3d²4s²	tai	100
Ti	tai	100
钛	tai	100
TiO₂	tai'bai	100
—NH—CO—	tai'jian	100
2s²2p²	tan	100
5d³6s²	tan	100
C	tan	100
Ta	tan	100
碳	tan	100
钽	tan	100
CaC₂	tan'hua'gai	100
SiC	tan'hua'gui	100
H₂CO₃	tan'suan	100
(NH₄)₂CO₃	tan'suan'an	100
BaCO₃	tan'suan'bei	100
CaCO₃	tan'suan'gai	100
CO₃²⁻	tan'suan'gen	100
K₂CO₃	tan'suan'jia	100
Li₂CO₃	tan'suan'li	100
MgCO₃	tan'suan'mei	100
Na₂CO₃	tan'suan'na	100
NH₄HCO₃	tan'suan'qin'gan	100
Ca(HCO₃)₂	tan'suan'qing'gai	100
HCO₃⁻	tan'suan'qing'gen	100
